,sentence,background_motivation,research_method,aim_contribution_research_object,results_findings_summary
1007,"As programs grow more complex, the analyses have to support new code concepts, frameworks and libraries.",1,0,0,0
1008,"However, static-analysis code itself is also prone to bugs.",1,0,0,0
1009,"While more complex analyses are written and used in production systems every day, the cost of debugging and fixing them also increases tremendously.",1,0,0,0
1010,"To understand the difficulties of debugging static analysis, we surveyed 115 static-analysis writers.",0,1,1,0
1011,"From their responses, we determined the core requirements to build a debugger for static analyses, which revolve around two main issues: abstracting from both the analysis code and the code it analyses at the same time, and tracking the analysis internal state throughout both code bases.",0,0,0,1
1012,Most tools used by our survey participants lack the capabilities to address both issues.,0,0,0,1
1013,"Focusing on those requirements, we introduce Visuflow, a debugging environment for static data-flow analysis.",0,0,1,0
1014,Visuflow features graph visualizations and custom breakpoints that enable users to view the state of an analysis at any time.,0,0,1,0
1015,"In a user study on 20 static-analysis writers, Visuflow helped identify 25 and fix 50 percent more errors in the analysis code compared to the standard Eclipse debugging environment.",0,1,0,1
1016,Selecting reviewers for code changes is a critical step for an efficient code review process.,1,0,0,0
1017,Recent studies propose automated reviewer recommendation algorithms to support developers in this task.,1,0,0,0
1018,"However, the evaluation of recommendation algorithms, when done apart from their target systems and users (i.e., code review tools and change authors), leaves out important aspects: perception of recommendations, influence of recommendations on human choices, and their effect on user experience.",1,0,0,0
1019,This study is the first to evaluate a reviewer recommender in vivo.,0,0,1,0
1020,"We compare historical reviewers and recommendations for over 21,000 code reviews performed with a deployed recommender in a company environment and set out to measure the influence of recommendations on users' choices, along with other performance metrics.",0,1,0,0
1021,"Having found no evidence of influence, we turn to the users of the recommender.",0,0,0,1
1022,"Through interviews and a survey we find that, though perceived as relevant, reviewer recommendations rarely provide additional value for the respondents.",0,1,0,1
1023,We confirm this finding with a larger study at another company.,0,0,0,1
1024,The confirmation of this finding brings up a case for more user-centric approaches to designing and evaluating the recommenders.,0,0,0,1
1025,"Finally, we investigate information needs of developers during reviewer selection and discuss promising directions for the next generation of reviewer recommendation tools.",0,0,1,0
1026,Abbreviations are widely used in identifiers.,1,0,0,0
1027,"However, they have severe negative impact on program comprehension and IR-based software maintenance activities, e.g., concept location, software clustering, and recovery of traceability links.",1,0,0,0
1028,"Consequently, a number of efficient approaches have been proposed successfully to expand abbreviations in identifiers.",1,0,0,0
1029,"Most of such approaches rely heavily on dictionaries, and rarely exploit the specific and fine-grained context of identifiers.",1,0,0,0
1030,"As a result, such approaches are less accurate in expanding abbreviations (especially short ones) that may match multiple dictionary words.",1,0,0,0
1031,"To this end, in this paper we propose an automatic approach to improve the accuracy of abbreviation expansion by exploiting the specific and fine-grained context.",0,0,1,0
1032,"It focuses on a special but common category of abbreviations (abbreviations in parameter names), and thus it can exploit the specific and fine-grained context, i.e., the type of the enclosing parameter as well the corresponding formal (or actual) parameter name.",0,0,1,0
1033,The recent empirical study on parameters suggest that actual parameters are often lexically similar to their corresponding formal parameters.,0,1,0,0
1034,"Consequently, it is likely that an abbreviation in a formal parameter can find its full terms in the corresponding actual parameter, and vice versa.",0,0,1,0
1035,"Based on this assumption, a series of heuristics are proposed to look for full terms from the corresponding actual (or formal) parameter names.",0,1,0,0
1036,"To the best of our knowledge, we are the first to expand abbreviations by exploiting the lexical similarity between actual and formal parameters.",0,1,0,0
1037,We also search for full terms in the data type of the enclosing parameter.,0,0,1,0
1038,"Only if all such heuristics fail, the approach turns to the traditional abbreviation dictionaries.",0,0,1,0
1039,We evaluate the proposed approach on seven well known open-source projects.,0,1,0,0
1040,"Evaluation results suggest that when only parameter abbreviations are involved, the proposed approach can improve the precision from 26 to 95 percent and recall from 26 to 65 percent compared against the state-of-the-art general purpose approach.",0,0,0,1
1041,"Consequently, the proposed approach could be employed as a useful supplement to existing approaches to expand parameter abbreviations.",0,0,0,1
1042,Test adequacy criteria are widely used to guide test creation.,1,0,0,0
1043,"However, many of these criteria are sensitive to statement structure or the choice of test oracle.",1,0,0,0
1044,"This is because such criteria ensure that execution reaches the element of interest, but impose no constraints on the execution path after this point.",1,0,0,0
1045,We are not guaranteed to observe a failure just because a fault is triggered.,1,0,0,0
1046,"To address this issue, we have proposed the concept of observability-an extension to coverage criteria based on Boolean expressions that combines the obligations of a host criterion with an additional path condition that increases the likelihood that a fault encountered will propagate to a monitored variable.",0,0,1,0
1047,"Our study, conducted over five industrial systems and an additional forty open-source systems, has revealed that adding observability tends to improve efficacy over satisfaction of the traditional criteria, with average improvements of 125.98 percent in mutation detection with the common output-only test oracle and per-model improvements of up to 1760.52 percent.",0,1,0,1
1048,"Ultimately, there is merit to our hypothesis-observability reduces sensitivity to the choice of oracle and to the program structure.",0,0,0,1
1049,"We present Supa, a value-flow-based demand-driven flow- and context-sensitive pointer analysis with strong updates for C and C++ programs.",0,0,1,0
1050,"Supa enables computing points-to information via value-flow refinement, in environments with small time and memory budgets.",0,0,1,0
1051,"We formulate Supa by solving a graph-reachability problem on an inter-procedural value-flow graph representing a program's def-use chains, which are pre-computed efficiently but over-approximately.",0,0,1,0
1052,"To answer a client query (a request for a variable's points-to set), Supa reasons about the flow of values along the pre-computed def-use chains sparsely (rather than across all program points), by performing only the work necessary for the query (rather than analyzing the whole program).",0,0,1,0
1053,"In particular, strong updates are performed to filter out spurious def-use chains through value-flow refinement as long as the total budget is not exhausted.",0,0,1,0
1054,"We have implemented Supa on top of LLVM (4.0.0) together with a comprehensive micro-benchmark suite after a years-long effort (consisting of around 400 test cases, including hand-written ones and the ones extracted from real programs).",0,0,1,0
1055,"We have evaluated Supa by choosing uninitialized pointer detection and C++ virtual table resolution as two major clients, using 24 real-world programs including 18 open-source C programs and 6 large CPU2000/2006 C++ benchmarks.",0,1,0,0
1056,"For uninitialized pointer client, Supa achieves improved precision as the analysis budget increases, with its flow-sensitive (context-insensitive) analysis reaching 97.4 percent of that achieved by whole-program Sparse Flow-Sensitive analysis (SFS) by consuming about 0.18 seconds and 65 KB of memory per query, on average (with a budget of at most 10,000 value-flow edges per query).",0,0,0,1
1057,"With context-sensitivity also considered, Supa becomes more precise for some programs but also incurs more analysis times.",0,0,0,1
1058,"To further demonstrate the effectiveness of Supa, we have also evaluated Supa in resolving C++ virtual tables by querying the function pointers at every virtual callsite.",0,1,0,0
1059,"Compared to analysis without strong updates for heap objects, Supa's demand-driven context-sensitive strong update analysis reduces 7.35 percent spurious virtual table targets with only 0.4 secs per query, on average.",0,0,0,1
1060,"Developers always focus on delivering high-quality updates to improve, or maintain the rating of their apps.",1,0,0,0
1061,Prior work has studied user reviews by analyzing all reviews of an app.,1,0,0,0
1062,"However, this app-level analysis misses the point that users post reviews to provide their feedback on a certain update.",1,0,0,0
1063,"For example, two bad updates of an app with a history of good updates would not be spotted using app-level analysis.",1,0,0,0
1064,"In this paper, we examine reviews at the update-level to better understand how users perceive bad updates.",0,0,1,0
1065,"We focus our study on the top 250 bad updates (i.e., updates with the highest increase in the percentage of negative reviews relative to the prior updates of the app) from 26,726 updates of 2,526 top free-to-download apps in the Google Play Store.",0,1,0,0
1066,We find that feature removal and UI issues have the highest increase in the percentage of negative reviews.,0,0,0,1
1067,Bad updates with crashes and functional issues are the most likely to be fixed by a later update.,1,0,0,0
1068,"However, developers often do not mention these fixes in the release notes.",1,0,0,0
1069,Our work demonstrates the necessity of an update-level analysis of reviews to capture the feelings of an app's user-base about a particular update.,0,0,0,1
1070,Bug reports play an important role in the process of debugging and fixing bugs.,1,0,0,0
1071,"To reduce the burden of bug report managers and facilitate the process of bug fixing, a great amount of software engineering research has been invested toward automated bug report management techniques.",1,0,0,0
1072,"However, the verdict is still open whether such techniques are actually required and applicable outside the domain of theoretical research.",1,0,0,0
1073,"To fill this gap, we conducted a survey among 327 practitioners to gain their insights into various categories of automated bug report management techniques.",0,1,0,0
1074,"Specifically, we asked the respondents to rate the importance of such techniques and provide the rationale.",0,1,0,0
1075,"To get deeper insights into practitioners' perspective, we conducted follow-up interviews with 25 interviewees selected from the survey respondents.",0,1,0,0
1076,"Through the survey and the interviews, we gained a better understanding of the perceived usefulness (or its lack) of different categories of automated bug report management techniques.",0,0,0,1
1077,"Based on our findings, we summarized some potential research directions in developing techniques to help developers better manage bug reports.",0,0,0,1
1078,Finding good configurations of a software system is often challenging since the number of configuration options can be large.,1,0,0,0
1079,"Software engineers often make poor choices about configuration or, even worse, they usually use a sub-optimal configuration in production, which leads to inadequate performance.",1,0,0,0
1080,"To assist engineers in finding the better configuration, this article introduces Flash, a sequential model-based method that sequentially explores the configuration space by reflecting on the configurations evaluated so far to determine the next best configuration to explore.",0,0,1,0
1081,Flash scales up to software systems that defeat the prior state-of-the-art model-based methods in this area.,0,0,1,0
1082,Flash runs much faster than existing methods and can solve both single-objective and multi-objective optimization problems.,0,0,1,0
1083,The central insight of this article is to use the prior knowledge of the configuration space (gained from prior runs) to choose the next promising configuration.,0,0,1,0
1084,"This strategy reduces the effort (i.e., number of measurements) required to find the better configuration.",0,0,1,0
1085,We evaluate Flash using 30 scenarios based on 7 software systems to demonstrate that Flash saves effort in 100 and 80 percent of cases in single-objective and multi-objective problems respectively by up to several orders of magnitude compared to state-of-the-art techniques.,0,1,0,1
1086,A linter is a static analysis tool that warns software developers about possible code errors or violations to coding standards.,1,0,0,0
1087,"By using such a tool, errors can be surfaced early in the development process when they are cheaper to fix.",1,0,0,0
1088,"For a linter to be successful, it is important to understand the needs and challenges of developers when using a linter.",1,0,0,0
1089,"In this paper, we examine developers' perceptions on JavaScript linters.",0,0,1,0
1090,We study why and how developers use linters along with the challenges they face while using such tools.,0,0,1,0
1091,"For this purpose we perform a case study on ESLint, the most popular JavaScript linter.",0,1,0,0
1092,"We collect data with three different methods where we interviewed 15 developers from well-known open source projects, analyzed over 9,500 ESLint configuration files, and surveyed 337 developers from the JavaScript community.",0,1,0,0
1093,Our results provide practitioners with reasons for using linters in their JavaScript projects as well as several configuration strategies and their advantages.,0,0,0,1
1094,"We also provide a list of linter rules that are often enabled and disabled, which can be interpreted as the most important rules to reason about when configuring linters.",0,0,0,1
1095,"Finally, we propose several feature suggestions for tool makers and future work for researchers.",0,0,0,1
1096,"When multiple developers change a software system in parallel, these concurrent changes need to be merged to all appear in the software being developed.",1,0,0,0
1097,"Numerous merge techniques have been proposed to support this task, but none of them can fully automate the merge process.",1,0,0,0
1098,"Indeed, it has been reported that as much as 10 to 20 percent of all merge attempts result in a merge conflict, meaning that a developer has to manually complete the merge.",1,0,0,0
1099,"To date, we have little insight into the nature of these merge conflicts.",1,0,0,0
1100,"What do they look like, in detail?",1,0,0,0
1101,How do developers resolve them?,1,0,0,0
1102,Do any patterns exist that might suggest new merge techniques that could reduce the manual effort?,1,0,0,0
1103,"This paper contributes an in-depth study of the merge conflicts found in the histories of 2,731 open source Java projects.",0,1,1,0
1104,"Seeded by the manual analysis of the histories of five projects, our automated analysis of all 2,731 projects: (1) characterizes the merge conflicts in terms of number of chunks, size, and programming language constructs involved, (2) classifies the manual resolution strategies that developers use to address these merge conflicts, and (3) analyzes the relationships between various characteristics of the merge conflicts and the chosen resolution strategies.",0,1,1,0
1105,"Our results give rise to three primary recommendations for future merge techniques, that - when implemented - could on one hand help in automatically resolving certain types of conflicts and on the other hand provide the developer with tool-based assistance to more easily resolve other types of conflicts that cannot be automatically resolved.",0,0,0,1
1106,"With the advent of multicore processors, there is a great need to write parallel programs to take advantage of parallel computing resources.",1,0,0,0
1107,"However, due to the nondeterminism of parallel execution, the malware behaviors sensitive to thread scheduling are extremely difficult to detect.",1,0,0,0
1108,Dynamic taint analysis is widely used in security problems.,1,0,0,0
1109,"By serializing a multithreaded execution and then propagating taint tags along the serialized schedule, existing dynamic taint analysis techniques lead to under-tainting with respect to other possible interleavings under the same input.",1,0,0,0
1110,"In this paper, we propose an approach called DSTAM that integrates symbolic analysis and guided execution to systematically detect tainted instances on all possible executions under a given input.",0,0,1,0
1111,"Symbolic analysis infers alternative interleavings of an executed trace that cover new tainted instances, and computes thread schedules that guide future executions.",1,0,0,0
1112,Guided execution explores new execution traces that drive future symbolic analysis.,1,0,0,0
1113,"We have implemented a prototype as part of an educational tool that teaches secure C programming, where accuracy is more critical than efficiency.",0,0,1,0
1114,"To the best of our knowledge, DSTAM is the first algorithm that addresses the challenge of taint analysis for multithreaded program under fixed inputs.",0,0,1,0
1115,Successful software products evolve through a process of continual change.,1,0,0,0
1116,"However, this process may weaken the design of the software and make it unnecessarily complex, leading to significantly reduced productivity and increased fault-proneness.",1,0,0,0
1117,"Refactoring improves the software design while preserving overall functionality and behavior, and is an important technique in managing the growing complexity of software systems.",1,0,0,0
1118,Most of the existing work on software refactoring uses either an entirely manual or a fully automated approach.,1,0,0,0
1119,"Manual refactoring is time-consuming, error-prone and unsuitable for large-scale, radical refactoring.",1,0,0,0
1120,"On the other hand, fully automated refactoring yields a static list of refactorings which, when applied, leads to a new and often hard to comprehend design.",1,0,0,0
1121,"Furthermore, it is difficult to merge these refactorings with other changes performed in parallel by developers.",1,0,0,0
1122,"In this paper, we propose a refactoring recommendation approach that dynamically adapts and interactively suggests refactorings to developers and takes their feedback into consideration.",0,0,1,0
1123,Our approach uses NSGA-II to find a set of good refactoring solutions that improve software quality while minimizing the deviation from the initial design.,0,0,1,0
1124,These refactoring solutions are then analyzed to extract interesting common features between them such as the frequently occurring refactorings in the best non-dominated solutions.,0,0,1,0
1125,"Based on this analysis, the refactorings are ranked and suggested to the developer in an interactive fashion as a sequence of transformations.",0,0,1,0
1126,"The developer can approve, modify or reject each of the recommended refactorings, and this feedback is then used to update the proposed rankings of recommended refactorings.",0,0,1,0
1127,"After a number of introduced code changes and interactions with the developer, the interactive NSGA-II algorithm is executed again on the new modified system to repair the set of refactoring solutions based on the new changes and the feedback received from the developer.",0,0,1,0
1128,We evaluated our approach on a set of eight open source systems and two industrial projects provided by an industrial partner.,0,1,0,0
1129,Statistical analysis of our experiments shows that our dynamic interactive refactoring approach performed significantly better than four existing search-based refactoring techniques and one fully-automated refactoring tool not based on heuristic search.,0,0,0,1
1130,"Free/Libre and Open Source Software (FLOSS) communities are composed, in part, of volunteers, many of whom contribute infrequently.",1,0,0,0
1131,"However, these infrequent volunteers contribute to the sustainability of FLOSS projects, and should ideally be encouraged to continue participating, even if they cannot be persuaded to contribute regularly.",1,0,0,0
1132,"Infrequent contributions are part of a trend which has been widely observed in other sectors of volunteering, where it has been termed “episodic volunteering” (EV).",1,0,0,0
1133,"Previous FLOSS research has focused on the Onion model, differentiating core and peripheral developers, with the latter considered as a homogeneous group.",1,0,0,0
1134,"We argue this is too simplistic, given the size of the periphery group and the myriad of valuable activities they perform beyond coding.",0,0,1,0
1135,Our exploratory qualitative survey of 13 FLOSS communities investigated what episodic volunteering looks like in a FLOSS context.,0,1,0,0
1136,"EV is widespread in FLOSS communities, although not specifically managed.",0,0,0,1
1137,We suggest several recommendations for managing EV based on a framework drawn from the volunteering literature.,0,0,0,1
1138,"Also, episodic volunteers make a wide range of value-added contributions other than code, and they should neither be expected nor coerced into becoming habitual volunteers.",0,0,0,1
1139,"With the thriving of mobile app markets, third-party libraries are pervasively used in Android applications.",1,0,0,0
1140,"The libraries provide functionalities such as advertising, location, and social networking services, making app development much more productive.",1,0,0,0
1141,"However, the spread of vulnerable and harmful third-party libraries can also hurt the mobile ecosystem, leading to various security problems.",1,0,0,0
1142,"Therefore, third-party library identification has emerged as an important problem, being the basis of many security applications such as repackaging detection, vulnerability identification, and malware analysis.",1,0,0,0
1143,"Previously, we proposed a novel approach to identifying third-party Android libraries at a massive scale.",1,0,0,0
1144,Our method uses the internal code dependencies of an app to recognize library candidates and further classify them.,0,0,1,0
1145,"With a fine-grained feature hashing strategy, we can better handle code whose package and method names are obfuscated than historical work.",0,0,1,0
1146,"We have developed a prototypical tool called LibD and evaluated it with an up-to-date dataset containing 1,427,395 Android apps.",0,1,0,0
1147,"Our experiment results show that LibD outperforms existing tools in detecting multi-package third-party libraries with the presence of name-based obfuscation, leading to significantly improved precision without the loss of scalability.",0,0,0,1
1148,"In this paper, we extend our early work by investigating the possibility of employing effective and scalable library detection to boost the performance of large-scale app analyses in the real world.",0,0,1,0
1149,We show that the technique of LibD can be used to accelerate whole-app Android vulnerability detection and quickly identify variants of vulnerable third-party libraries.,0,0,0,1
1150,This extension paper sheds light on the practical value of our previous research.,0,0,0,1
1151,Application Programming Interfaces (APIs) represent key tools for software developers to build complex software systems.,1,0,0,0
1152,"However, several studies have revealed that even major API providers tend to have incomplete or inconsistent API documentation.",1,0,0,0
1153,"This can severely hamper the API comprehension and, as a consequence, the quality of the software built on them.",1,0,0,0
1154,"In this paper, we propose DRONE (Detect and Repair of dOcumentatioN dEfects), a framework to automatically detect and repair defects from API documents by leveraging techniques from program analysis, natural language processing, and constraint solving.",0,0,1,0
1155,"Specifically, we target at the directives of API documents, which are related to parameter constraints and exception handling declarations.",0,0,1,0
1156,"Furthermore, in presence of defects, we also provide a prototypical repair recommendation system.",0,0,1,0
1157,We evaluate our approach on parts of the well-documented APIs of JDK 1.8 APIs (including javaFX) and Android 7.0 (level 24).,0,1,0,0
1158,"Across the two empirical studies, our approach can detect API defects with an average F-measure of 79.9, 71.7, and 81.4 percent, respectively.",0,1,0,1
1159,The API repairing capability has also been evaluated on the generated recommendations in a further experiment.,0,1,0,0
1160,User judgments indicate that the constraint information is addressed correctly and concisely in the rendered directives.,0,0,0,1
1161,"To ensure the quality of its shared knowledge, Stack Overflow encourages users to revise answers through a badge system, which is based on quantitative measures (e.g., a badge is awarded after revising more than 500 answers).",1,0,0,0
1162,"Prior studies show that badges can positively steer the user behavior on Stack Overflow (e.g., increasing user participation).",1,0,0,0
1163,"However, little is known whether revision-related badges have a negative impact on the quality of revisions since some studies show that certain users may game incentive systems to gain rewards.",1,0,0,0
1164,"In this study, we analyze 3,871,966 revision records that are collected from 2,377,692 Stack Overflow answers.",0,1,0,0
1165,We find that: 1) Users performed a much larger than usual revisions on the badge-awarding days compared to normal days; 25% of the users did not make any more revisions once they received their first revision-related badge.,0,0,0,1
1166,"2) Performing more revisions than usual in a single day increased the likelihood of such revisions being rolled back (e.g., due to undesired or incorrect revisions).",0,0,0,1
1167,3) Users were more likely to perform text and small revisions if they performed many revisions in a single day.,0,0,0,1
1168,"Our findings are concurred by the Stack Overflow community, and they highlight the need for changes to the current badge system in order to provide a better balance between the quality and quantity of revisions.",0,0,0,1
1169,Automated program repair is the problem of automatically fixing bugs in programs in order to significantly reduce the debugging costs and improve the software quality.,1,0,0,0
1170,"To address this problem, test-suite based repair techniques regard a given test suite as an oracle and modify the input buggy program to make the entire test suite pass.",1,0,0,0
1171,"GenProg is well recognized as a prominent repair approach of this kind, which uses genetic programming (GP) to rearrange the statements already extant in the buggy program.",1,0,0,0
1172,"However, recent empirical studies show that the performance of GenProg is not fully satisfactory, particularly for Java.",1,0,0,0
1173,"In this paper, we propose ARJA, a new GP based repair approach for automated repair of Java programs.",0,0,1,0
1174,"To be specific, we present a novel lower-granularity patch representation that properly decouples the search subspaces of likely-buggy locations, operation types and potential fix ingredients, enabling GP to explore the search space more effectively.",0,0,1,0
1175,"Based on this new representation, we formulate automated program repair as a multi-objective search problem and use NSGA-II to look for simpler repairs.",0,0,1,0
1176,"To reduce the computational effort and search space, we introduce a test filtering procedure that can speed up the fitness evaluation of GP and three types of rules that can be applied to avoid unnecessary manipulations of the code.",0,0,1,0
1177,"Moreover, we also propose a type matching strategy that can create new potential fix ingredients by exploiting the syntactic patterns of existing statements.",0,0,1,0
1178,We conduct a large-scale empirical evaluation of ARJA along with its variants on both seeded bugs and real-world bugs in comparison with several state-of-the-art repair approaches.,0,1,0,0
1179,Our results verify the effectiveness and efficiency of the search mechanisms employed in ARJA and also show its superiority over the other approaches.,0,0,0,1
1180,"In particular, compared to jGenProg (an implementation of GenProg for Java), an ARJA version fully following the redundancy assumption can generate a test-suite adequate patch for more than twice the number of bugs (from 27 to 59), and a correct patch for nearly four times of the number (from 5 to 18), on 224 real-world bugs considered in Defects4J.",0,0,0,1
1181,"Furthermore, ARJA is able to correctly fix several real multi-location bugs that are hard to be repaired by most of the existing repair approaches.",0,0,0,1
1182,The standard approach to applying text retrieval models to code repositories is to train models on documents representing program elements.,1,0,0,0
1183,"However, code changes lead to model obsolescence and to the need to retrain the model from the latest snapshot.",1,0,0,0
1184,"To address this, we previously introduced an approach that trains a model on documents representing changesets from a repository and demonstrated its feasibility for feature location.",1,0,0,0
1185,"In this paper, we expand our work by investigating: a second task (developer identification), the effects of including different changeset parts in the model, the repository characteristics that affect the accuracy of our approach, and the effects of the time invariance assumption on evaluation results.",0,0,1,0
1186,"Our results demonstrate that our approach is as accurate as the standard approach for projects with most changes localized to a subset of the code, but less accurate when changes are highly distributed throughout the code.",0,0,0,1
1187,"Moreover, our results demonstrate that context and messages are key to the accuracy of changeset-based models and that the time invariance assumption has a statistically significant effect on evaluation results, providing overly-optimistic results.",0,0,0,1
1188,"Our findings indicate that our approach is a suitable alternative to the standard approach, providing comparable accuracy while eliminating retraining costs.",0,0,0,1
1189,Developers increasingly rely on text matching tools to analyze the relation between natural language words and APIs.,1,0,0,0
1190,"However, semantic gaps, namely textual mismatches between words and APIs, negatively affect these tools.",1,0,0,0
1191,"Previous studies have transformed words or APIs into low-dimensional vectors for matching; however, inaccurate results were obtained due to the failure of modeling words and APIs simultaneously.",1,0,0,0
1192,"To resolve this problem, two main challenges are to be addressed: the acquisition of massive words and APIs for mining and the alignment of words and APIs for modeling.",1,0,0,0
1193,"Therefore, this study proposes Word2API to effectively estimate relatedness of words and APIs.",0,0,1,0
1194,Word2API collects millions of commonly used words and APIs from code repositories to address the acquisition challenge.,0,1,0,0
1195,"Then, a shuffling strategy is used to transform related words and APIs into tuples to address the alignment challenge.",0,0,1,0
1196,"Using these tuples, Word2API models words and APIs simultaneously.",0,0,1,0
1197,Word2API outperforms baselines by 10-49.6 percent of relatedness estimation in terms of precision and NDCG.,0,0,0,1
1198,"Word2API is also effective on solving typical software tasks, e.g., query expansion and API documents linking.",0,0,0,1
1199,A simple system with Word2API-expanded queries recommends up to 21.4 percent more related APIs for developers.,0,0,0,1
1200,"Meanwhile, Word2API improves comparison algorithms by 7.9-17.4 percent in linking questions in Question&Answer communities to API documents.",0,0,0,1
1201,"Software defect prediction, which aims to identify defective modules, can assist developers in finding bugs and prioritizing limited quality assurance resources.",1,0,0,0
1202,Various features to build defect prediction models have been proposed and evaluated.,1,0,0,0
1203,"Among them, process metrics are one important category.",1,0,0,0
1204,"Yet, existing process metrics are mainly encoded manually from change histories and ignore the sequential information arising from the changes during software evolution.",1,0,0,0
1205,Are the change sequences derived from such information useful to characterize buggy program modules?,1,0,0,0
1206,How can we leverage such sequences to build good defect prediction models?,1,0,0,0
1207,"Unlike traditional process metrics used for existing defect prediction models, change sequences are mostly vectors of variable length.",1,0,0,0
1208,This makes it difficult to apply such sequences directly in prediction models that are driven by conventional classifiers.,1,0,0,0
1209,"To resolve this challenge, we utilize Recurrent Neural Network (RNN), which is a deep learning technique, to encode features from sequence data automatically.",0,0,1,0
1210,"In this paper, we propose a novel approach called Fences, which extracts six types of change sequences covering different aspects of software changes via fine-grained change analysis.",0,0,1,0
1211,It approaches defects prediction by mapping it to a sequence labeling problem solvable by RNN.,0,0,1,0
1212,Our evaluations on 10 open source projects show that Fences can predict defects with high performance.,0,1,0,1
1213,"In particular, our approach achieves an average F-measure of 0.657, which improves the prediction models built on traditional metrics significantly.",0,0,0,1
1214,The improvements vary from 31.6 to 46.8 percent on average.,0,0,0,1
1215,"In terms of AUC, Fences achieves an average value of 0.892, and the improvements over baselines vary from 4.2 to 16.1 percent.",0,0,0,1
1216,Fences also outperforms the state-of-the-art technique which learns semantic features automatically from static code via deep learning.,0,0,0,1
1217,Developers frequently discuss aspects of the systems they are developing online.,1,0,0,0
1218,The comments they post to discussions form a rich information source about the system.,1,0,0,0
1219,"Intention mining, a process introduced by Di Sorbo et al., classifies sentences in developer discussions to enable further analysis.",1,0,0,0
1220,"As one example of use, intention mining has been used to help build various recommenders for software developers.",1,0,0,0
1221,The technique introduced by Di Sorbo et al. to categorize sentences is based on linguistic patterns derived from two projects.,1,0,0,0
1222,"The limited number of data sources used in this earlier work introduces questions about the comprehensiveness of intention categories and whether the linguistic patterns used to identify the categories are generalizable to developer discussion recorded in other kinds of software artifacts (e.g., issue reports).",1,0,0,0
1223,"To assess the comprehensiveness of the previously identified intention categories and the generalizability of the linguistic patterns for category identification, we manually created a new dataset, categorizing 5,408 sentences from issue reports of four projects in GitHub.",0,1,0,0
1224,"Based on this manual effort, we refined the previous categories.",0,0,1,0
1225,"We assess Di Sorbo et al.'s patterns on this dataset, finding that the accuracy rate achieved is low (0.31).",0,0,0,1
1226,"To address the deficiencies of Di Sorbo et al.'s patterns, we propose and investigate a convolution neural network (CNN)-based approach to automatically classify sentences into different categories of intentions.",0,0,1,0
1227,"Our approach optimizes CNN by integrating batch normalization to accelerate the training speed, and an automatic hyperparameter tuning approach to tune appropriate hyperparameters of CNN.",0,0,1,0
1228,"Our approach achieves an accuracy of 0.84 on the new dataset, improving Di Sorbo et al.'s approach by 171 percent.",0,0,0,1
1229,"We also apply our approach to improve an automated software engineering task, in which we use our proposed approach to rectify misclassified issue reports, thus reducing the bias introduced by such data to other studies.",0,0,1,0
1230,"A case study on four open source projects with 2,076 issue reports shows that our approach achieves an average AUC score of 0.687, which improves other baselines by at least 16 percent.",0,0,0,1
1231,"Modern information technology paradigms, such as online services and off-the-shelf products, often involve a wide variety of users with different or even conflicting objectives.",1,0,0,0
1232,"Every software output may satisfy some users, but may also fail to satisfy others.",1,0,0,0
1233,"Furthermore, users often do not know the internal working mechanisms of the systems.",1,0,0,0
1234,"This situation is quite different from bespoke software, where developers and users typically know each other.",1,0,0,0
1235,"This paper proposes an approach to help users to better understand the software that they use, and thereby more easily achieve their objectives-even when they do not fully understand how the system is implemented.",0,0,1,0
1236,"Our approach borrows the concept of metamorphic relations from the field of metamorphic testing (MT), using it in an innovative way that extends beyond MT.",0,0,1,0
1237,We also propose a “symmetry” metamorphic relation pattern and a “change direction” metamorphic relation input pattern that can be used to derive multiple concrete metamorphic relations.,0,0,1,0
1238,"Empirical studies reveal previously unknown failures in some of the most popular applications in the world, and show how our approach can help users to better understand and better use the systems.",1,1,0,1
1239,"The empirical results provide strong evidence of the simplicity, applicability, and effectiveness of our methodology.",0,1,0,1
1240,Android ecosystem is heavily fragmented.,1,0,0,0
1241,"The numerous combinations of different device models and operating system versions make it impossible for Android app developers to exhaustively test their apps, and thus various compatibility issues arise.",1,0,0,0
1242,"Unfortunately, little is known on the characteristics of such fragmentation-induced compatibility issues.",1,0,0,0
1243,No mature tools exist to help developers quickly diagnose and fix these issues.,1,0,0,0
1244,"To bridge the gap, we conducted an empirical study on 220 real-world compatibility issues collected from five popular open-source Android apps.",0,1,0,0
1245,We further interviewed Android practitioners and conducted an online survey to gain insights from real practices.,0,1,0,0
1246,"Via the studies, we characterized compatibility issues, investigated common practices to handle compatibility issues, and disclosed that these issues exhibit common patterns.",0,0,1,0
1247,"With these findings, we propose a technique, FicFinder, to automatically detect compatibility issues in Android apps.",0,0,1,0
1248,FicFinder performs static code analysis based on a model that captures Android APIs as well as their associated context by which compatibility issues can be triggered.,0,0,1,0
1249,FicFinder reports actionable debugging information to developers when it detects potential issues.,0,0,0,1
1250,We evaluated FicFinder with 53 large-scale open-source Android apps.,0,1,0,0
1251,The results show that FicFinder can precisely detect compatibility issues in these apps and uncover previously-unknown issues.,0,0,0,1
1252,"Defect models that are trained on class imbalanced datasets (i.e., the proportion of defective and clean modules is not equally represented) are highly susceptible to produce inaccurate prediction models.",1,0,0,0
